img	rule	cmplx	class	done	correct	t(ms)	conf
382	ASHBY	SIMPLE	CLASS_B	true	true	299.0	0.5

341	ASHBY	SIMPLE	CLASS_A	true	true	467.0	0.5

346	ASHBY	SIMPLE	CLASS_B	true	true	436.0	0.5
##	##	##	##	##	##	##	##

343	ASHBY	SIMPLE	CLASS_B	true	true	1233.0	0.0

374	ASHBY	SIMPLE	CLASS_B	true	false	566.0	0.0

356	ASHBY	SIMPLE	CLASS_B	true	true	1067.0	0.0

371	ASHBY	SIMPLE	CLASS_B	true	true	1365.0	0.0

337	ASHBY	SIMPLE	CLASS_A	true	true	533.0	0.5

314	ASHBY	SIMPLE	CLASS_A	true	false	36.0	0.5

350	ASHBY	SIMPLE	CLASS_B	true	false	434.0	0.5

327	ASHBY	SIMPLE	CLASS_A	true	false	433.0	0.5

342	ASHBY	SIMPLE	CLASS_A	true	true	599.0	0.5

340	ASHBY	SIMPLE	CLASS_A	true	false	367.0	0.5

323	ASHBY	SIMPLE	CLASS_A	true	true	499.0	0.5

370	ASHBY	SIMPLE	CLASS_B	true	true	502.0	0.5

320	ASHBY	SIMPLE	CLASS_A	true	false	534.0	0.5

363	ASHBY	SIMPLE	CLASS_B	true	false	466.0	0.5

380	ASHBY	SIMPLE	CLASS_B	true	true	400.0	0.5

316	ASHBY	SIMPLE	CLASS_A	true	true	467.0	0.5
##	##	##	##	##	##	##	##

292	ASHBY	COMPLEX	CLASS_B	true	true	866.0	0.0

279	ASHBY	COMPLEX	CLASS_B	true	false	432.0	0.0

220	ASHBY	COMPLEX	CLASS_A	true	false	2167.0	0.0

228	ASHBY	COMPLEX	CLASS_A	true	true	301.0	0.0
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##

0	null	null	CLASS_A	true	false	1032.0	0.0

1	null	null	CLASS_A	true	true	433.0	0.0

2	null	null	CLASS_A	true	true	734.0	0.0

3	null	null	CLASS_A	true	true	1401.0	0.0

4	null	null	CLASS_A	true	true	1066.0	0.5

5	null	null	CLASS_A	true	true	1068.0	0.5

6	null	null	CLASS_B	true	true	598.0	0.5

7	null	null	CLASS_B	true	true	632.0	0.5

8	null	null	CLASS_B	true	true	1465.0	0.5

286	ASHBY	COMPLEX	CLASS_B	true	false	1200.0	0.0

225	ASHBY	COMPLEX	CLASS_A	true	false	133.0	0.0

217	ASHBY	COMPLEX	CLASS_A	true	false	100.0	0.0

228	ASHBY	COMPLEX	CLASS_A	true	false	532.0	0.0

258	ASHBY	COMPLEX	CLASS_B	true	true	434.0	0.5

267	ASHBY	COMPLEX	CLASS_B	true	true	399.0	0.5

283	ASHBY	COMPLEX	CLASS_B	true	true	433.0	0.5

290	ASHBY	COMPLEX	CLASS_B	true	true	466.0	0.5

280	ASHBY	COMPLEX	CLASS_B	true	true	567.0	0.5

294	ASHBY	COMPLEX	CLASS_B	true	true	400.0	0.5

247	ASHBY	COMPLEX	CLASS_A	true	false	199.0	0.5

255	ASHBY	COMPLEX	CLASS_B	true	true	333.0	0.5

249	ASHBY	COMPLEX	CLASS_A	true	false	532.0	0.5

231	ASHBY	COMPLEX	CLASS_A	true	false	400.0	0.5

298	ASHBY	COMPLEX	CLASS_B	true	true	98.0	0.5

232	ASHBY	COMPLEX	CLASS_A	true	false	401.0	0.5
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##

3	null	null	CLASS_A	true	false	898.0	0.0

8	null	null	CLASS_B	true	true	1035.0	0.0

5	null	null	CLASS_A	true	true	997.0	0.0

10	null	null	CLASS_B	true	true	1099.0	0.0

2	null	null	CLASS_A	true	true	1565.0	0.5

7	null	null	CLASS_B	true	true	899.0	0.5

6	null	null	CLASS_B	true	false	1134.0	0.5

4	null	null	CLASS_A	true	false	765.0	0.5

1	null	null	CLASS_A	true	true	1431.0	0.5

11	null	null	CLASS_B	true	true	800.0	0.5

9	null	null	CLASS_B	true	false	432.0	0.5

0	null	null	CLASS_A	true	false	434.0	0.5
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##

0	null	null	CLASS_A	true	false	1499.0	0.0

6	null	null	CLASS_B	true	false	633.0	0.0

3	null	null	CLASS_A	true	true	500.0	0.0

9	null	null	CLASS_B	true	true	9201.0	0.0

7	null	null	CLASS_B	true	true	13959.0	0.3002451
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##

11	null	null	CLASS_B	true	true	967.0	0.0

1	null	null	CLASS_A	true	true	433.0	0.0

2	null	null	CLASS_A	true	true	568.0	0.0

0	null	null	CLASS_A	true	false	535.0	0.0

5	null	null	CLASS_A	true	true	634.0	0.5

8	null	null	CLASS_B	true	true	435.0	0.5

6	null	null	CLASS_B	true	true	401.0	0.5

4	null	null	CLASS_A	true	false	432.0	0.5

7	null	null	CLASS_B	true	false	566.0	0.5

9	null	null	CLASS_B	true	true	569.0	0.5

10	null	null	CLASS_B	true	false	366.0	0.5

3	null	null	CLASS_A	true	false	365.0	0.5

258	ASHBY	COMPLEX	CLASS_B	true	false	799.0	0.0

221	ASHBY	COMPLEX	CLASS_A	true	false	98.0	0.0

282	ASHBY	COMPLEX	CLASS_B	true	false	534.0	0.0

267	ASHBY	COMPLEX	CLASS_B	true	true	399.0	0.0

284	ASHBY	COMPLEX	CLASS_B	true	true	434.0	0.5

215	ASHBY	COMPLEX	CLASS_A	true	true	368.0	0.5

299	ASHBY	COMPLEX	CLASS_B	true	true	297.0	0.5

223	ASHBY	COMPLEX	CLASS_A	true	true	533.0	0.5

200	ASHBY	COMPLEX	CLASS_A	true	false	366.0	0.5

270	ASHBY	COMPLEX	CLASS_B	true	false	402.0	0.5

242	ASHBY	COMPLEX	CLASS_A	true	false	133.0	0.5

254	ASHBY	COMPLEX	CLASS_A	true	true	268.0	0.5

294	ASHBY	COMPLEX	CLASS_B	true	true	733.0	0.5

297	ASHBY	COMPLEX	CLASS_B	true	false	534.0	0.5

277	ASHBY	COMPLEX	CLASS_B	true	true	401.0	0.5

279	ASHBY	COMPLEX	CLASS_B	true	false	431.0	0.5

185	B_35	SIMPLE	CLASS_B	true	true	466.0	0.0

140	B_35	SIMPLE	CLASS_A	true	true	467.0	0.0

135	B_35	SIMPLE	CLASS_A	true	false	599.0	0.0

112	B_35	SIMPLE	CLASS_A	true	true	635.0	0.0

116	B_35	SIMPLE	CLASS_A	true	false	465.0	0.5

120	B_35	SIMPLE	CLASS_A	true	true	501.0	0.5

173	B_35	SIMPLE	CLASS_B	true	true	468.0	0.5

104	B_35	SIMPLE	CLASS_A	true	true	465.0	0.5

174	B_35	SIMPLE	CLASS_B	true	false	404.0	0.5

136	B_35	SIMPLE	CLASS_A	true	false	100.0	0.5

198	B_35	SIMPLE	CLASS_B	true	false	964.0	0.5

168	B_35	SIMPLE	CLASS_B	true	true	2267.0	0.5

143	B_35	SIMPLE	CLASS_A	true	false	13033.0	0.5

131	B_35	SIMPLE	CLASS_A	true	true	4768.0	0.5

110	B_35	SIMPLE	CLASS_A	true	false	3534.0	0.5

152	B_35	SIMPLE	CLASS_B	true	true	534.0	0.5
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##

3	null	null	CLASS_A	true	false	1200.0	0.0

2	null	null	CLASS_A	true	true	800.0	0.0

10	null	null	CLASS_B	true	false	468.0	0.0

6	null	null	CLASS_B	true	true	827.0	0.0

